Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
AA,13204,13303,1,1
AA,13204,13303,-4,-11
AA,13204,13303,6,16
AA,13204,13303,-2,-3
AA,13204,13303,-3,4
AA,13204,13303,-2,-10
AA,13204,13303,-7,-7
AA,13204,13303,11,3
AA,13204,13303,-4,14
AA,13204,13303,-6,-9
AA,13204,13303,-5,5
AA,13204,13303,-3,-16
AA,13204,13303,-4,-14
AA,13204,13303,8,10
AA,13204,13303,-2,-7
AA,13204,13303,-3,-4
AA,13204,13303,3,-5
AA,13204,13303,-3,-4
AA,13204,13303,-5,-10
AA,13204,13303,53,52
AA,14107,13303,-4,21
AA,14107,13303,33,24
AA,14107,13303,-4,-22
AA,14107,13303,-6,-32
AA,14107,13303,-4,-30
AA,14107,13303,-4,-9
AA,14107,13303,-6,-11
AA,14107,13303,-4,-25
AA,14107,13303,3,14
AA,14107,13303,10,-3
AA,14107,13303,-1,1
AA,14107,13303,5,1
AA,14107,13303,-2,-14
AA,14107,13303,0,-3
AA,14107,13303,-1,-10
AA,14107,13303,51,36
AA,14107,13303,-13,-26
AA,14107,13303,-5,-17
AA,14107,13303,22,8
AA,14107,13303,18,21
AA,14107,13303,12,8
AA,14107,13303,-4,-6
AA,14107,13303,-7,-11
AA,14107,13303,-7,-13
AA,14107,13303,-3,-22
AA,14107,13303,3,0
AA,14107,13303,0,-3
AA,14107,13303,-4,-16
AA,14107,13303,-1,-6
AA,14843,13303,-16,-2
AA,14843,13303,-4,24
AA,14843,13303,-9,-13
AA,14843,13303,-13,-19
AA,14843,13303,-2,7
AA,14843,13303,-3,7
AA,14843,13303,-11,-18
AA,14843,13303,-7,-17
AA,14843,13303,-5,-23
AA,14843,13303,-10,-23
AA,14843,13303,-3,-17
AA,14843,13303,-14,-23
AA,14843,13303,-5,-21
AA,14843,13303,-5,-3
AA,14843,13303,5,1
AA,14843,13303,-5,-12
AA,14843,13303,-5,-19
AA,14843,13303,-3,-11
AA,14843,13303,-3,-21
AA,14843,13303,-3,16
AA,14843,13303,0,-14
AA,14843,13303,-2,10
AA,14843,13303,-6,-3
AA,14843,13303,-2,-5
AA,14843,13303,-1,10
AA,14843,13303,-1,2
AA,14843,13303,-3,-20
AA,14843,13303,-3,-31
AA,14843,13303,-7,-19
AA,14843,13303,-4,20
AA,14843,13303,-4,-32
AA,13891,11298,-7,0
AA,13891,11298,-5,19
AA,13891,11298,-3,-15
AA,13891,11298,9,8
AA,13891,11298,-6,-21
AA,13891,11298,-6,-17
AA,13891,11298,-7,-16
AA,13891,11298,-3,-11
AA,13891,11298,-9,-12
AA,13891,11298,-5,4
AA,13891,11298,-3,2
AA,13891,11298,-2,22
AA,13891,11298,-2,18
AA,13891,11298,-3,7
AA,13891,11298,-5,5
AA,13891,11298,0,0
AA,13891,11298,2,-5
AA,13891,11298,-3,-12
AA,13891,11298,1,-7
AA,13891,11298,0,-6
AA,13891,11298,-1,-2
AA,13891,11298,-5,-16
AA,13891,11298,-7,-7
AA,13891,11298,-2,-1
AA,13891,11298,-8,-3
AA,13891,11298,-3,-14
AA,13891,11298,0,2
AA,13891,11298,3,13
AA,13891,11298,-10,-24
AA,13891,11298,-6,-17
AA,13303,10821,0,1
AA,13303,10821,-5,-3
AA,13303,10821,-6,-3
AA,13303,10821,-3,3
AA,13303,10821,-5,-5
AA,13303,10821,-1,-9
AA,13303,10821,-6,-10
AA,13303,10821,-6,-3
AA,13303,10821,-6,-14
AA,13303,10821,-5,-14
AA,13303,10821,1,-6
AA,13303,10821,-3,-14
AA,13303,10821,-4,-18
AA,13303,10821,-4,-5
AA,13303,10821,-8,-9
AA,13303,10821,0,-2
AA,13303,10821,1,-1
AA,13303,10821,-6,7
AA,13303,10821,1,0
AA,13303,10821,2,-4
AA,13303,10821,-2,-6
AA,13303,10821,13,5
AA,13303,10821,0,-4
AA,13303,10821,-5,-8
AA,13303,10821,-3,3
AA,13303,10821,4,-5
AA,13303,10821,-6,-11
AA,13303,10821,-5,-7
AA,13303,10821,1,16
AA,13303,10821,3,17
AA,13303,10821,-7,-11
AA,15304,13303,0,-5
AA,15304,13303,-4,-15
AA,15304,13303,-8,-13
AA,15304,13303,-3,-8
AA,15304,13303,0,3
AA,15304,13303,-3,-2
AA,15304,13303,-4,-2
AA,15304,13303,0,-3
AA,15304,13303,-4,-9
AA,15304,13303,-6,-2
AA,15304,13303,15,3
AA,15304,13303,-5,-13
AA,15304,13303,-4,-12
AA,15304,13303,5,1
AA,15304,13303,-3,-10
AA,15304,13303,-1,-11
AA,15304,13303,-3,-10
AA,15304,13303,-7,-17
AA,15304,13303,-6,-12
AA,15304,13303,-4,-15
AA,15304,13303,1,-2
AA,15304,13303,-4,-9
AA,15304,13303,0,-2
AA,15304,13303,-7,-6
AA,15304,13303,-4,-4
AA,15304,13303,1,2
AA,15304,13303,-10,-16
AA,15304,13303,-5,-5
AA,15304,13303,-4,-7
AA,15304,13303,-6,-14
AA,15304,13303,-3,-9
AA,13204,11298,14,-3
AA,13204,11298,17,3
AA,13204,11298,-7,1
AA,13204,11298,-12,-14
AA,13204,11298,-5,-11
AA,13204,11298,-5,12
AA,13204,11298,-5,-8
AA,13204,11298,128,123
AA,13204,11298,-12,-25
AA,13204,11298,19,7
AA,13204,11298,48,73
AA,13204,11298,-6,-4
AA,13204,11298,-11,-20
AA,13204,11298,-3,-8
AA,13204,11298,-4,25
AA,13204,11298,-8,-22
AA,13204,11298,-2,3
AA,13204,11298,52,63
AA,13204,11298,136,133
AA,13204,11298,-2,-18
AA,13204,11298,-8,-11
AA,13204,11298,-8,19
AA,13204,11298,4,9
AA,13204,11298,-11,-24
AA,13204,11298,70,58
AA,13204,11298,4,31
AA,13204,11298,-10,27
AA,13204,11298,-7,-8
AA,14730,11298,-11,-24
AA,14730,11298,-5,-10
AA,14730,11298,-5,-3
AA,14730,11298,-11,-17
AA,14730,11298,-8,-21
AA,14730,11298,-1,-17
AA,14730,11298,1,-12
AA,14730,11298,-7,-13
AA,14730,11298,-5,-16
AA,14730,11298,-9,-14
AA,14730,11298,-8,4
AA,14730,11298,-8,-11
AA,14730,11298,-3,-15
AA,14730,11298,-7,-14
AA,14730,11298,-11,-12
AA,14730,11298,-6,4
AA,14730,11298,-5,-9
AA,14730,11298,-8,-23
AA,14730,11298,-10,-21
AA,14730,11298,-3,-9
AA,14730,11298,0,0
AA,14730,11298,-5,-4
AA,14730,11298,-2,-6
AA,14730,11298,-10,-22
AA,14730,11298,-4,-21
AA,14730,11298,-8,-26
AA,14730,11298,-8,-14
AA,14730,11298,-6,-16
AA,14730,11298,-10,-6
AA,14730,11298,-5,5
AA,11298,13487,27,16
AA,11298,13487,4,-19
AA,11298,13487,-1,-15
AA,11298,13487,20,9
AA,11298,13487,13,6
AA,11298,13487,-1,-17
AA,11298,13487,40,27
AA,11298,13487,0,-12
AA,11298,13487,32,52
AA,11298,13487,12,-8
AA,11298,13487,-4,-18
AA,11298,13487,-3,4
AA,11298,13487,5,1
AA,11298,13487,-3,-16
AA,11298,13487,5,1
AA,11298,13487,2,-4
AA,11298,13487,0,-10
AA,11298,13487,0,-3
AA,11298,13487,85,94
AA,11298,13487,42,31
AA,11298,13487,0,0
AA,11298,13487,1,-5
AA,11298,13487,7,-4
AA,11298,13487,23,38
AA,11298,13487,0,-4
AA,11298,13487,1,-11
AA,11298,13487,-4,-16
AA,11298,13487,-5,-18
AA,11298,13487,12,56
AA,11298,13487,11,5
AA,11298,13487,22,14
AA,11298,14057,69,62
AA,11298,14057,37,32
AA,11298,14057,19,20
AA,11298,14057,2,-8
AA,11298,14057,-2,-35
AA,11298,14057,21,-1
AA,11298,14057,25,13
AA,11298,14057,71,51
AA,11298,14057,3,-14
AA,11298,14057,19,-2
AA,11298,14057,4,3
AA,11298,14057,12,2
AA,11298,14057,0,0
AA,11298,14057,11,3
AA,11298,14057,73,51
AA,11298,14057,29,15
AA,11298,14057,32,31
AA,11298,14057,180,169
AA,11298,14057,10,32
AA,11298,14057,33,28
AA,11298,14057,77,92
AA,11298,14057,-4,-11
AA,11298,14057,41,27
AA,11298,14057,2,-7
AA,11298,14057,0,0
AA,11298,14057,58,56
AA,11298,14057,12,18
AA,15304,11298,74,56
AA,15304,11298,39,30
AA,15304,11298,-2,-3
AA,15304,11298,-5,-4
AA,15304,11298,-6,-7
AA,15304,11298,26,21
AA,15304,11298,23,11
AA,15304,11298,42,72
AA,15304,11298,-7,-27
AA,15304,11298,14,18
AA,15304,11298,-10,-10
AA,15304,11298,11,12
AA,13930,11298,-9,-18
AA,13930,11298,-3,-11
AA,13930,11298,81,80
AA,13930,11298,5,-3
AA,13930,11298,22,80
AA,13930,11298,28,43
AA,11298,13930,1,-17
AA,11298,13930,5,-16
AA,11298,13930,0,0
AA,11298,13930,6,-8
AA,11298,13930,-3,-13
AA,11298,13930,12,1
AA,11298,13930,3,-14
AA,11298,13930,4,-11
AA,11298,13930,49,40
AA,11298,13930,1,15
AA,11298,13930,7,-1
AA,11298,13930,1,-12
AA,11298,13930,27,18
AA,11298,13930,63,44
AA,11298,13930,-1,-13
AA,11298,13930,16,7
AA,11298,13930,-2,-16
AA,11298,13930,-4,-17
AA,11298,13930,2,-22
AA,11298,13930,27,10
AA,11298,13930,0,0
AA,11298,13930,115,109
AA,11298,13930,37,19
AA,11298,13930,5,-4
AA,11298,13930,4,-13
AA,11298,13930,83,78
AA,11298,13930,19,7
AA,11298,13930,1,-26
